# Constructed from biom file
#OTU ID	PJCH3	PJset	PPCH2	PPCH4	GLCH4	PJCH4	PPset	PPH1	GLCH2	PJCH2	GLset	PJH1	GLH1	GLCH3
New.ReferenceOTU1896	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
New.ReferenceOTU1891	44.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
New.ReferenceOTU1890	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0
New.ReferenceOTU4910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0
New.ReferenceOTU4919	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4918	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
New.ReferenceOTU662	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
New.ReferenceOTU664	0.0	12.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU665	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
New.ReferenceOTU3752	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
New.ReferenceOTU594	0.0	0.0	2.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU596	0.0	20.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0
New.ReferenceOTU597	45.0	120.0	0.0	0.0	199.0	3.0	15.0	3.0	10.0	12.0	17.0	0.0	4.0	34.0
New.ReferenceOTU598	30.0	17.0	3.0	0.0	101.0	14.0	0.0	0.0	31.0	19.0	20.0	0.0	44.0	17.0
New.ReferenceOTU599	2.0	2.0	0.0	0.0	52.0	1.0	3.0	0.0	4.0	0.0	1.0	0.0	2.0	3.0
New.ReferenceOTU2970	1.0	23.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU1305	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
New.ReferenceOTU1301	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
New.ReferenceOTU4779	1.0	18.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0
New.ReferenceOTU1308	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
New.ReferenceOTU2514	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU2519	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU842	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
New.ReferenceOTU843	87.0	685.0	4.0	3.0	1.0	2300.0	1.0	43.0	0.0	3.0	0.0	28.0	0.0	0.0
New.ReferenceOTU849	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5790	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0
New.ReferenceOTU5799	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5422	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
New.ReferenceOTU5423	3.0	0.0	1.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5420	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
New.ReferenceOTU5421	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
New.ReferenceOTU5426	0.0	0.0	8.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5428	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6213	2.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0
New.ReferenceOTU3487	10.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
New.ReferenceOTU3484	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
New.ReferenceOTU1934	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU1932	64.0	1.0	3.0	2.0	0.0	0.0	10.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0
New.ReferenceOTU3261	0.0	0.0	10.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
New.ReferenceOTU3266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3267	6.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0
New.ReferenceOTU3269	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
