Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_caricicola	0.000440819925061	0.0	0.000277315585136	0.000175963399613	0.000186811133944	0.000579878225573	0.00157197395015	0.0	0.00030534351145	0.00282702443699	0.00131752305665	0.0	0.000599520383693	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_phragmiticola	0.0	0.0	0.0	0.0	0.0	0.000579878225573	0.00157197395015	0.000857632933105	0.00152671755725	0.00905606133206	0.0	0.0	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeriopsis;s__Phaeosphaeriopsis_sp_C652	0.0	0.0	0.0	0.0	0.0	0.0	0.000224567707164	0.0	0.0	0.000431241015812	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;s__Sclerostagonospora_sp_CBS_118152	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.000673703121491	0.0	0.00213740458015	0.00191662673694	0.0137022397892	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora;s__Stagonospora_pseudovitensis	0.0	0.0	0.00194120909595	0.000351926799226	0.000186811133944	0.000579878225573	0.00157197395015	0.0	0.00977099236641	0.0042644944897	0.000263504611331	0.00246487552379	0.00149880095923	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.00119769443821	0.0366638078902	0.00213740458015	0.00804983229516	0.0	0.0	0.00269784172662	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__uncultured_Phaeosphaeria	0.0	0.0	9.24385283786e-05	0.0	0.0	0.000869817338359	0.00651246350775	0.493138936535	0.00854961832061	0.0328222328701	0.00105401844532	0.00369731328568	0.0131894484412	0.000794596742153
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__uncultured_Phaeosphaeriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00407375643225	0.0	0.000910397700048	0.0	0.00123243776189	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;Other;Other	0.0	0.00080971659919	0.00147901645406	0.000527890198839	0.000373622267887	0.0	0.00291938019313	0.000214408233276	0.000610687022901	0.000383325347389	0.00843214756258	0.0	0.0	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;Other	0.000440819925061	0.0	0.000184877056757	0.000351926799226	0.000186811133944	0.0	0.000149711804776	0.0	0.00030534351145	0.000335409678965	0.0	0.0	0.0	0.0
